_id,date,center_name,attendance_count
49150904,2025-09-19,Jefferson Community Center,58
49150905,2025-09-19,West Penn Community Center,43
49150906,2025-09-18,Brookline Community Center,34
49150907,2025-09-18,Arlington Community Center,13
49150908,2025-09-18,Ormsby Community Center,8
49150909,2025-09-18,Paulson Community Center,22
49150910,2025-09-18,Phillips Community Center,62
49150911,2025-09-18,Warrington Community Center,21
49150912,2025-09-18,Jefferson Community Center,51
49150913,2025-09-18,Magee Community Center,31
49150914,2025-09-18,West Penn Community Center,102
49150915,2025-09-17,Arlington Community Center,60
49150916,2025-09-17,Brookline Community Center,21
49150917,2025-09-17,Ormsby Community Center,11
49150918,2025-09-17,Phillips Community Center,52
49150919,2025-09-17,Paulson Community Center,14
49150920,2025-09-17,Warrington Community Center,23
49150921,2025-09-17,Magee Community Center,35
49150922,2025-09-17,Jefferson Community Center,49
49150923,2025-09-17,West Penn Community Center,74
49150924,2025-09-16,Brookline Community Center,39
49150925,2025-09-16,Arlington Community Center,24
49150926,2025-09-16,Ormsby Community Center,16
49150927,2025-09-16,Paulson Community Center,11
49150928,2025-09-16,Phillips Community Center,44
49150929,2025-09-16,Warrington Community Center,24
49150930,2025-09-16,Jefferson Community Center,54
49150931,2025-09-16,Magee Community Center,28
49150932,2025-09-16,West Penn Community Center,66
49150933,2025-09-15,Arlington Community Center,12
49150934,2025-09-15,Brookline Community Center,26
49150935,2025-09-15,Ormsby Community Center,17
49150936,2025-09-15,Phillips Community Center,71
49150937,2025-09-15,Paulson Community Center,18
49150938,2025-09-15,Warrington Community Center,16
49150939,2025-09-15,Magee Community Center,26
49150940,2025-09-15,Jefferson Community Center,36
49150941,2025-09-15,West Penn Community Center,67
49150942,2025-09-13,Paulson Community Center,2
49150943,2025-09-13,Phillips Community Center,2
49150944,2025-09-13,West Penn Community Center,49
49150945,2025-09-12,Brookline Community Center,25
49150946,2025-09-12,Arlington Community Center,7
49150947,2025-09-12,Ormsby Community Center,7
49150948,2025-09-12,Phillips Community Center,27
49150949,2025-09-12,Paulson Community Center,15
49150950,2025-09-12,Warrington Community Center,32
49150951,2025-09-12,Jefferson Community Center,21
49150952,2025-09-12,Magee Community Center,1
49150953,2025-09-12,West Penn Community Center,43
49150954,2025-09-11,Arlington Community Center,12
49150955,2025-09-11,Brookline Community Center,5
49150956,2025-09-11,Ormsby Community Center,13
49150957,2025-09-11,Paulson Community Center,18
49150958,2025-09-11,Phillips Community Center,50
49150959,2025-09-11,Warrington Community Center,19
49150960,2025-09-11,Jefferson Community Center,35
49150961,2025-09-11,West Penn Community Center,117
49150962,2025-09-10,Brookline Community Center,36
49150963,2025-09-10,Arlington Community Center,45
49150964,2025-09-10,Ormsby Community Center,15
49150965,2025-09-10,Phillips Community Center,55
49150966,2025-09-10,Paulson Community Center,20
49150967,2025-09-10,Warrington Community Center,30
49150968,2025-09-10,Jefferson Community Center,32
49150969,2025-09-10,West Penn Community Center,67
49150970,2025-09-09,Brookline Community Center,51
49150971,2025-09-09,Ormsby Community Center,27
49150972,2025-09-09,Paulson Community Center,15
49150973,2025-09-09,Phillips Community Center,52
49150974,2025-09-09,Warrington Community Center,27
49150975,2025-09-09,Jefferson Community Center,33
49150976,2025-09-09,Magee Community Center,4
49150977,2025-09-09,West Penn Community Center,94
49150978,2025-09-08,Brookline Community Center,24
49150979,2025-09-08,Arlington Community Center,13
49150980,2025-09-08,Ormsby Community Center,16
